Flight Code, Airline Name                           , Departure Time, Arrival Time, Duration, Stops, Price   , Departure City, Arrival City, Travel Class, Date of Travel
QH-299     , "Bamboo Airways, VietJet Air"          , 23:05         , 21:40       , 22h 35m ,     1,  2219849, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
QH-299     , "Bamboo Airways, VietJet Air"          , 23:05         , 22:30       , 23h 25m ,     1,  2227236, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VU-791     , "Vietravel Airlines, VietJet Air"      , 21:00         , 21:40       , 24h 40m ,     1,  2280584, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VU-791     , "Vietravel Airlines, VietJet Air"      , 21:00         , 22:30       , 25h 30m ,     1,  2287971, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 21:40       , 23h 30m ,     1,  2325657, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 14:05       , 15h 15m ,     1,  2509355, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 14:05       , 15h 55m ,     1,  2509355, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 18:00       , 19h 10m ,     1,  2509355, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 18:00       , 19h 50m ,     1,  2509355, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-161     , VietJet Air                            , 00:15         , 14:05       , 13h 50m ,     1,  2604600, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-191     , VietJet Air                            , 15:55         , 21:40       , 29h 45m ,     1,  2883991, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-171     , VietJet Air                            , 01:00         , 14:05       , 13h 5m  ,     1,  2958185, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-123     , VietJet Air                            , 22:10         , 12:25       , 14h 15m ,     1,  2988968, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-191     , VietJet Air                            , 15:55         , 14:05       , 22h 10m ,     1,  3067689, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-191     , VietJet Air                            , 15:55         , 18:00       , 26h 5m  ,     1,  3067689, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-199     , VietJet Air                            , 15:55         , 21:40       , 5h 45m  ,     1,  3097102, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-199     , VietJet Air                            , 15:55         , 14:05       , 22h 10m ,     1,  3097102, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VU-751     , "Vietravel Airlines, VietJet Air"      , 08:50         , 18:10       , 9h 20m  ,     1,  3129430, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VJ-187     , VietJet Air                            , 22:50         , 06:55       , 8h 5m   ,     1,  3132260, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
